Watertown Rest. Eff.,Dryville Rest. Eff.,Fallsland Rest. Eff.,Demand Growth Rate,Bond Term,Bond Interest,Discount Rate, NRR Perm,NRR Const,CRR L Perm,CRR L Const,CRR H Perm,CRR H Const,WR1 Perm,WR1 Const,Inflows A,Inflowsf,Inflows P
0.923975416,0.912508218,1.063531019,1.675681103,1.127353372,0.89265404,0.733442058,0.837330647,1.013442672,1.139517714,1.193714735,0.926256487,1.068582012,0.840663429,1.108798669,0.002672909,4856.959667,425.8490755
0.966718537,0.960775565,1.053147567,1.012187632,1.019486277,0.849181466,1.375948789,1.419309564,1.19659266,1.42440365,1.143983348,1.083078327,1.081165772,1.070930983,1.016692343,0.005763369,4820.497251,455.4286899
1.025672028,1.100752839,1.001910919,1.588794905,1.13923991,0.709945794,0.855219871,0.958719034,1.175065118,1.130431341,1.095671636,0.79296837,1.014801691,0.763115906,1.086117547,0.008138941,4837.350382,455.026462
0.987654026,1.083013619,1.084893831,1.12026712,1.002501841,0.697178943,0.647972653,0.962495163,1.142940603,1.456603857,1.092759988,1.08248206,1.019215748,1.310130195,1.02343887,0.006928339,5125.876378,420.7567811
1.015561436,0.996530514,1.096413377,1.322559521,1.17615747,0.824512009,0.932778492,1.215493772,1.005775802,0.774174482,1.127539099,1.432444183,1.061429724,0.812354309,1.057923209,0.00948501,4880.239565,420.6966143
1.025249973,0.920292519,1.066518849,1.229936431,1.028435528,0.744833849,1.04221041,1.247294749,1.14981564,0.994304555,1.045689725,1.432100615,1.062334857,0.797195273,1.14461942,0.005034639,5120.38698,451.7455597
1.063186849,0.928984477,1.020895736,1.831078686,1.029909827,0.79920186,1.076757995,1.197221934,1.020942173,1.20162783,1.127002807,1.421960142,1.050464713,0.847429887,1.127561315,0.008919753,5017.403454,419.998806
0.979282914,1.023970711,0.909807906,0.981275393,1.019380263,0.893275248,0.706867974,1.268592182,1.025416027,1.149530371,1.079648177,1.310641621,1.068521492,1.363281167,1.035248628,0.006991188,4924.122622,424.8776029
1.083880461,1.034820169,0.989670374,1.770441756,1.17789582,0.75644767,1.171714144,0.824906799,1.174071616,0.867005137,1.147285976,0.989176097,1.027254012,1.43165425,1.098238097,0.005532115,4916.501363,419.3071866
0.987612752,0.937985624,1.025206105,0.797925718,1.021567627,0.665547758,0.993098,1.414045229,1.19690985,0.995251359,1.000220442,1.21454388,1.113347488,0.984378331,1.131019456,0.009978326,4960.478584,444.3169305
1.041525761,0.983428463,0.946319415,1.456929476,1.180182235,0.947265749,1.368525823,1.176473875,1.056712804,0.817979173,1.142129162,0.939196571,1.156588102,1.125918091,1.167071619,0.005902329,4736.977858,444.7340195
0.946647669,0.936657142,1.011584114,1.762489388,1.043321459,0.763506058,0.98789429,1.491341179,1.09633297,1.026860912,1.186098143,1.272934864,1.080515912,1.243069082,1.168806007,0.005644256,5032.608016,446.541803
1.001380101,1.067401266,0.939014949,1.982540206,1.174616302,0.799916197,0.995174811,1.186538705,1.045554153,1.392953173,1.07760686,1.268793374,1.13150137,0.766626773,1.141880028,0.008467394,4991.484206,437.8729762
1.013172506,1.025127756,1.082828522,1.08695838,1.043095555,0.942460795,1.270997111,1.018224355,1.171688895,1.333903319,1.149222193,1.103095017,1.056646055,1.482977766,1.070926317,0.004765319,5049.704738,442.9933162
0.931778135,0.978420423,1.009634263,1.354330049,1.131955375,0.60925578,1.396007638,1.079041654,1.093188989,0.986596896,1.198597161,0.889622764,1.023802197,1.099535394,1.095921911,0.000830335,4926.860019,419.3648213
1.036930517,0.934360111,1.001035295,0.823022401,1.016644872,0.713386507,1.239154521,1.40706966,1.088468924,0.869101875,1.032645633,1.152769715,1.114785832,0.884775311,1.070064795,0.005840834,4881.050573,445.6035377
1.04108137,0.945163121,0.927202467,0.636003533,1.032489808,0.796810023,0.678132414,1.074583018,1.179748964,0.863639261,1.166550498,1.089060483,1.116230992,1.136808009,1.102491789,0.003232355,5109.729699,444.6202104
0.912712098,0.92808731,1.104295786,1.041699446,1.144424054,0.60969872,1.233730792,1.170283524,1.161295418,1.326863962,1.111657508,1.305902121,1.033085685,1.138052301,1.032768252,0.001481452,4832.957234,424.4182606
0.938442141,1.013764949,0.984268406,1.059158705,1.092941054,0.610515198,1.012090417,1.366040088,1.140150274,0.914862637,1.057470934,1.168206217,1.168551066,1.453968098,1.196411331,0.003376113,4992.320291,429.9076935
1.091188376,0.942915476,1.062323474,1.85972784,1.01651819,0.835666735,1.004008351,0.808343887,1.010921412,0.968977474,1.016291587,1.206010854,1.094510455,1.450284226,1.125726264,0.009035097,4949.22432,439.2725346
0.938490768,0.91234463,1.024127867,1.926715666,1.016686134,0.894960184,0.733954446,0.768001791,1.110351079,1.28292195,1.100406339,1.077383074,1.010528221,0.850237913,1.014124758,0.002396358,4791.100048,441.7972731
0.93330151,0.993326528,1.086420757,0.863655754,1.090891204,0.741362239,0.611317894,0.781970425,1.126409231,1.16940402,1.123045989,1.38728568,1.146855602,1.470779,1.15914048,0.004167656,4774.721275,447.0494519
0.948070793,1.072093953,1.085710701,1.983092595,1.101017652,0.97942359,0.859105543,1.066485507,1.141389486,0.775644935,1.032547105,1.108513116,1.03728587,1.091144237,1.151997377,8.09E-05,4763.600948,421.3693239
0.974978193,0.972316595,0.918480212,1.409664025,1.120947929,0.602110556,1.027128886,0.893818109,1.081203067,1.190457099,1.070016121,1.062991493,1.055322471,0.991486722,1.027384511,0.00818588,4850.649128,418.4554369
